sp,sp_beast2,best_model,status,status2,t_generations,t_years,rate,Na,Nc,log_nc_na,mean disturbance,mean disturbance2,mean elev,population decline,# islands,# unique localities
Colobopsis.bryani,Colobopsis.bryani_clade_EGP0136A07_Fiji,exponential,endemic,1,224112.52,72.8072498,0.000324869,263623.8112,2636.238112,-2,4.257142857,1.742857143,340.8857143,1,5,4
Colobopsis.cristata,Colobopsis.cristata_clade_EGP0080B07_Fiji,instantaneous,endemic,1,234063.1113,76.0398902,0.000324869,86361.69701,109006.9114,0.101132867,3.9,2.071428571,395.1,0,5,45
Colobopsis.dentata_c1,Colobopsis.dentata_c1_EGP0070H11_Fiji,exponential,endemic,1,469179.9861,152.4221157,0.000324869,10834.0009,126585.7839,1.067596068,3.25,2.75,182.19,0,4,5
Colobopsis.dentata_c4,Colobopsis.dentata_c4_EGP0071C08_Fiji,exponential,endemic,1,737081.2928,239.4549926,0.000324869,28859.32489,77065.94118,0.426576319,4,2,76,0,1,3
Colobopsis.laminata_c3,Colobopsis.laminata_c3_EGP0073G08_Fiji,instantaneous,endemic,1,396446.1865,128.7931461,0.000324869,115210.5815,163483.8151,0.151982395,3.9,2.114754098,429.54,0,4,16
Colobopsis.polynesica_c1,Colobopsis.polynesica_c1_EGP0071G01_Fiji,exponential,endemic,1,15109.73886,4.90868842,0.000324869,85894.59468,1575.040565,-1.736674091,4.352941176,1.647058824,334.2941176,1,4,9
Colobopsis.polynesica_c3,Colobopsis.polynesica_c3_EGP0060D10_Fiji,exponential,endemic,1,186616.0237,60.62579393,0.000324869,223337.1574,2233.371574,-2,4.275862069,1.724137931,167.6896552,1,7,15
Colobopsis.polynesica_c4,Colobopsis.polynesica_c4_EGP0060F07_Fiji,exponential,endemic,1,519331.3995,168.7147641,0.000324869,143452.898,22093.7808,-0.812439285,4.333333333,1.666666667,435.9298246,1,6,20
Colobopsis.schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,instantaneous,endemic,1,4998429.968,1623.835827,0.000324869,188132.5304,19560.27616,-0.983088915,4.4375,1.5625,523.34375,1,6,61
Colobopsis.vitiensis,Colobopsis.vitiensis_EGP0060A03_Fiji,exponential,endemic,1,442708.1857,143.8222437,0.000324869,60658.76748,60574.35275,-0.000604799,4.380588235,1.611111111,526.694118,1,6,33
Gnamptogenys.aterrima,Gnamptogenys.aterrima_EGP0070D10_Fiji,instantaneous,endemic,1,257890.3391,83.78062207,0.000324869,123015.5943,26134.53027,-0.67274547,4.428571429,1.571428571,412.2380952,1,9,62
Hypoponera.eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,instantaneous,endemic,1,230927.5416,75.02124026,0.000324869,80617.74807,40893.63697,-0.294774925,4.617977528,1.382022472,526.988764,1,9,87
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,exponential,endemic,1,1575167.423,511.7233435,0.000324869,140192.9477,75155.09849,-0.270767719,4.583333333,1.416666667,480.7833333,1,8,59
Leptogenys.fje02,Leptogenys.FJE02_EGP0095E10_Fiji,exponential,endemic,1,672476.6206,218.4669259,0.000324869,153189.671,22119.74959,-0.840449277,4.105263158,1.894736842,249.4210526,1,6,14
Leptogenys.fje05,Leptogenys.FJE05_EGP0096A07_Fiji,instantaneous,endemic,1,2259095.5,733.9104946,0.000324869,67297.08661,48534.65886,-0.141944282,4.2,1.8,587,1,1,4
Leptogenys.fjn01,Leptogenys.fjn01_EGP0095F08_Fiji,instantaneous,endemic,1,72349.89943,23.50425224,0.000324869,97695.14556,4904.903195,-1.299242544,4.545454545,1.454545455,578.8181818,1,2,5
Leptogenys.fjn02,Leptogenys.fjn02_EGP0095E11_Fiji,exponential,endemic,1,247279.2206,80.33339675,0.000324869,124695.7066,2531.322844,-1.692503962,4.22,1.777777778,415.4444444,1,2,4
Leptogenys.letilae,Leptogenys.letilae_EGP0095D08_Fiji,instantaneous,endemic,1,62965.41599,20.45552284,0.000324869,68534.92788,47001.25354,-0.163802519,4.625,1.375,781,1,2,8
Lordomyrma.striatella,Lordomyrma.striatella_EGP0032F01_Fiji,instantaneous,endemic,1,1376411.877,447.1537929,0.000324869,402786.4957,53127.53878,-0.879755204,4.625,1.375,448.25,1,5,8
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,exponential,endemic,1,650043.4247,211.179072,0.000324869,50283.43548,120696.4408,0.380269521,4.157142857,1.842857143,385.8428571,0,6,67
Odontomachus.angulatus,Odontomachus.angulatus_EGP0096C03_Fiji,exponential,endemic,1,832898.6265,270.5830908,0.000324869,81639.40647,121824.3853,0.17383439,3.861428571,2.138888889,441.8,0,4,28
Ooceraea.crypta,Ooceraea.crypta_EGP0099F12_Fiji,instantaneous,endemic,1,635906.9873,206.5865793,0.000324869,28674.40384,187275.3989,0.814986333,4.11428571,1.888888889,525.222,0,1,7
Ooceraea.fj06,Ooceraea.fj06_EGP0100B10_Fiji,instantaneous,endemic,1,989323.625,321.4007513,0.000324869,88421.81527,87455.58082,-0.004771898,4.052657,1.947368421,339.4736842,1,9,37
Ooceraea.fuscior,Ooceraea.fuscior_EGP0099G11_Fiji,instantaneous,endemic,1,1110560.455,360.7868604,0.000324869,16321.35864,93586.2631,0.758455798,4.076923077,1.923076923,350,0,3,13
Paraparatrechina.oceanica,Paraparatrechina.oceanica_EGP0138A07_Fiji,exponential,endemic,1,601795.3037,195.5047447,0.000324869,146994.6444,31725.68743,-0.665890471,4.279411765,1.720588235,362.8088235,1,10,67
pheidole_colaensis,Pheidole.colaensis_EGP0016A08_Fiji,instantaneous,endemic,1,300460.6896,97.61041678,0.000324869,171647.7847,22314.21201,-0.886056648,4.285714286,1,885.2857143,1,1,5
Pheidole.bula,Pheidole.bula_EGP0016A02_Fiji,instantaneous,endemic,1,62677.52573,20.36199616,0.000324869,2464.8663,1313.034278,-0.273517303,5,1.5,333.5,1,2,5
Pheidole.kava,Pheidole.kava_EGP0027D12_Fiji,instantaneous,endemic,1,8102076.365,2632.114876,0.000324869,131375.1519,36808.04835,-0.55257044,4.615384615,1.384615385,527.1538462,1,3,13
Pheidole.onifera,Pheidole.onifera_EGP0016H09_Fiji,exponential,endemic,1,6235230.077,2025.63406,0.000324869,104397.0738,38543.40596,-0.432738237,4.333333333,1.666666667,356.3333333,1,6,17
Pheidole.roosevelti,Pheidole.roosevelti_EGP0016D06_Fiji,instantaneous,endemic,1,767941.4992,249.4805224,0.000324869,175620.2006,19269.28008,-0.95970898,4.785714286,1.214285714,529.9285714,1,3,26
Pheidole.simplispinosa,Pheidole.simplinosa_EGP0016E11_Fiji,exponential,endemic,1,144306.2459,46.88065126,0.000324869,78482.39091,17817.67106,-0.643921288,4.473684211,1.526315789,537.7894737,1,3,17
Pheidole.ululevu,Pheidole.ululevu_EGP0025D07_Fiji,instantaneous,endemic,1,817196.3626,265.4819093,0.000324869,35021.43041,61922.45172,0.247514263,4.493670886,1.506329114,366.1772152,0,10,78
Pheidole.uncagena,Pheidole.uncagena_EGP0022C09_Fiji,instantaneous,endemic,1,12847.18251,4.173653602,0.000324869,76769.74916,2095.814152,-1.563837353,4.6,1.4,690.2,1,3,10
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,exponential,endemic,1,393306.5489,127.7731746,0.000324869,143878.7692,28224.58513,-0.707369147,4.4,1.6,430.8,1,8,34
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,instantaneous,endemic,1,853437.3142,277.2554774,0.000324869,69995.60757,145948.4195,0.319128609,4.47761194,1.52238806,449.0447761,0,8,65
Philidris.nagasau,Philidris.nagasau_EGP0068D11_Fiji,exponential,endemic,1,492327.8557,159.942145,0.000324869,119759.3069,44455.11323,-0.430387553,4.285714286,1.714285714,498.5714286,1,3,21
Pristomyrmex.mandibularis,Pristomyrmex.mandibularis_EGP0025G10_Fiji,exponential,endemic,1,3662130.408,1189.71329,0.000324869,183653.7885,31643.26223,-0.763718641,4.49122807,1.50877193,462.7719298,1,8,57
Pristomyrmex.tsujii,Pristomyrmex.tsujii_EGP0029E11_Fiji,exponential,endemic,1,2309111.872,750.1592721,0.000324869,127610.9853,62524.43108,-0.309838313,4.545454545,1.454545455,499.3863636,1,8,44
Proceratium.relictum,Proceratium.relictum_EGP0091C09_Fiji,exponential,endemic,1,263133.5781,85.48398881,0.000324869,67921.53678,46186.64501,-0.167491087,4.307692308,1.692307692,567.2307692,1,2,13
Strumigenys.basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,exponential,endemic,1,7044857.644,2288.657101,0.000324869,130722.7902,27159.85451,-0.68242387,4.516129032,1.483870968,417.7419355,1,7,31
Strumigenys.chernovi,Strumigenys.chernovi_EGP0037D06_Fiji,exponential,endemic,1,1372429.969,445.8601937,0.000324869,173477.0672,25812.6765,-0.827409033,4.416666667,1.583333333,354.9583333,1,5,23
Strumigenys.ekasura,Strumigenys.ekasura_EGP0061B04_Fiji,exponential,endemic,1,746319.6488,242.4562497,0.000324869,185700.4958,23378.57856,-0.899994961,4.36,1.64,354.88,1,6,24
Strumigenys.nidifex,Strumigenys.nidifex_EGP0062A08_Fiji,exponential,endemic,1,1849910.229,600.9788126,0.000324869,255247.4129,24672.77526,-1.014743346,4.666666667,1.333333333,592.2380952,1,6,20
Strumigenys.sulcata,Strumigenys.sulcata_EGP0062G05_Fiji,exponential,endemic,1,865394.4496,281.1399821,0.000324869,296926.4688,16987.84681,-1.242510577,4.555555556,1.444444444,639.0555556,1,4,18
Strumigenys.trauma,Strumigenys.trauma_EGP0035F11_Fiji,exponential,endemic,1,848820.5807,275.755643,0.000324869,185114.5807,18253.17668,-1.00610217,4.384615385,1.615384615,385.1153846,1,7,26
Tetramorium.manni,Tetramorium.manni_EGP0064E11_Fiji,instantaneous,endemic,1,6396920.466,2078.162283,0.000324869,436724.7459,79466.60915,-0.740023119,4.379310345,1.620689655,500.4827586,1,6,29
Vollenhovia.fj01,Vollenhovia.fj01_EGP0067E03_Fiji,exponential,endemic,1,317836.2478,103.2552001,0.000324869,64732.97148,51022.52812,-0.103363569,4.833333333,1.166666667,518.5833333,1,3,12
Anochetus.graeffei,Anochetus.graeffei_EGP0091H05_Fiji,instantaneous,widespread pacific native,2,243127.5224,78.98463797,0.000324869,1209.393534,96816.42215,1.903381387,4.297297297,1.702702703,282.5675676,0,6,36
Camponotus.chloroticus,Camponotus.chloroticus_EGP0071D10_Fiji,instantaneous,widespread pacific native,2,429561.4626,139.5512786,0.000324869,450.9229083,132760.8172,2.468967618,3.772727273,2.227272727,142.1818182,0,8,19
Carebara.atoma,Carebara.atoma_EGP0031H09_Fiji,instantaneous,widespread pacific native,2,318735.6202,103.5473784,0.000324869,3048.105978,122610.9806,1.604499303,4.533333333,1.466666667,302.4666667,0,7,15
Iridomyrmex.anceps,Iridomyrmex.anceps_EGP0068B09_Fiji,instantaneous,widespread pacific native,2,300400.8916,97.59099025,0.000324869,2661.899429,168573.5656,1.80159783,2.089285714,3.910714286,176.25,0,3,10
Monomorium.floricola,Monomorium.floricola_EGP0033F05_Fiji,instantaneous,widespread pacific native,2,527304.612,171.305015,0.000324869,4808.538424,38084.41576,0.898734207,2.794117647,3.205882353,118.7352941,0,8,14
Odontomachus.simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,instantaneous,widespread pacific native,2,350226.075,113.7776566,0.000324869,3130.955635,529494.2639,2.228184346,3.84375,2.15625,270.70625,0,12,123
Pheidole.fervens,Pheidole.fervens_EGP0019A05_Fiji,instantaneous,widespread pacific native,2,177472.6262,57.65538591,0.000324869,680.2421605,111250.0741,2.213636763,2.731707317,3.268292683,304.3658537,0,3,15
Pheidole.umbonata,Pheidole.umbonata_EGP0016E05_Fiji,instantaneous,widespread pacific native,2,288316.4958,93.66514254,0.000324869,1460.83084,243109.7389,2.221202428,3.682926829,2.317073171,169.5609756,0,10,31
Rogeria.stigmatica,Rogeria.stigmatica_EGP0035C04_Fiji,instantaneous,widespread pacific native,2,176140.0081,57.22245937,0.000324869,499.4538033,389219.7539,2.891699549,4.395348837,1.604651163,324.5581395,0,8,41
Solenopsis.papuana,Solenopsis.papuana_EGP0036G03_Fiji,instantaneous,widespread pacific native,2,301597.0264,97.97957758,0.000324869,1105.006499,178853.7826,2.209133297,4.454545455,1.545454545,372.1090909,0,9,54
Strumigenys.godeffroyi,Strumigenys.godeffroyi_EGP0061D04_Fiji,instantaneous,widespread pacific native,2,202138.0687,65.6684279,0.000324869,1074.262311,155901.3431,2.161739517,4.15,1.85,283.875,0,8,41
Tapinoma.minutum,Tapinoma.minutum_EGP0069G08_Fiji,instantaneous,widespread pacific native,2,445906.9735,144.8614312,0.000324869,2139.818396,97249.82451,1.657511909,3.916666667,2.083333333,593.5,0,4,13
Technomyrmex.vitiensis,Technomyrmex.vitiensis_EGP0101G03_Fiji,instantaneous,widespread pacific native,2,284624.2926,92.46565953,0.000324869,1049.744172,172716.9413,2.216251466,4.107843137,1.892156863,323.8235294,0,11,95
Tetramorium.insolens,Tetramorium.insolens_EGP0064B06_Fiji,instantaneous,widespread pacific native,2,180701.5993,58.70437974,0.000324869,1091.885799,72366.28373,1.821359053,4.25,1.75,247.5,0,10,28
Tetramorium.pacificum,Tetramorium.pacificum_EGP0065G07_Fiji,instantaneous,widespread pacific native,2,272528.8781,88.53623218,0.000324869,1416.155476,554449.2456,2.592750861,3.86013986,2.13986014,370.8881119,0,12,108
Tetramorium.tonganum,Tetramorium.tonganum_EGP0067D04_Fiji,instantaneous,widespread pacific native,2,165954.2966,53.91343566,0.000324869,13913.59869,179032.8676,1.109493295,4.068181818,1.931818182,304.1590909,0,10,44
Anoplolepis.gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,instantaneous,Exotic,3,58178.3411,18.90034976,0.000324869,34180.58731,145062.9291,0.627776922,2.943661972,3.056338028,163.1267606,0,11,34
Cardiocondyla.minutior,Cardiocondyla.minutior_EGP0031F09_Fiji,instantaneous,Exotic,3,447941.7334,145.522462,0.000324869,4162.97855,235957.8773,1.753430307,2.923076923,3.076923077,384.7692308,0,4,13
Cardiocondyla.obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,instantaneous,Exotic,3,284450.0941,92.40906781,0.000324869,3932.633282,55044.67479,1.14603186,3.866666667,2.133333333,288.2666667,0,7,13
Pheidole.megacephala,Pheidole.megacephala_EGP0019C04_Fiji,instantaneous,Exotic,3,328599.1306,106.7517289,0.000324869,1698.416152,74718.20933,1.643382344,2.6,3.4,150.4444444,0,8,24
Pseudoponera.stigma,Pseudoponera.stigma_EGP0099C08_Fiji,instantaneous,Exotic,3,134303.877,43.63118991,0.000324869,533.5337014,142966.8482,2.428073486,4.222222222,1.777777778,217.3333333,0,3,27
Solenopsis.geminata,Solenopsis.geminata_EGP0035H08_Fiji,instantaneous,Exotic,3,418302.7756,135.8936782,0.000324869,2407.08577,409848.9578,2.23113227,2.139534884,3.860465116,258.7906977,0,1,6
Strumigenys.rogeri,Strumigenys.rogeri_EGP0062E04_Fiji,instantaneous,Exotic,3,923448.6426,300,0.000324869,18336.44154,74319.43122,0.607787319,4.296296296,1.703703704,285.7037037,0,6,26
Tapinoma.melanocephalum,Tapinoma.melanocephalum_EGP0069D02_Fiji,instantaneous,Exotic,3,308095.0404,100.090582,0.000324869,2831.678057,173337.8147,1.786849442,2.666666667,3.333333333,249.9349594,0,10,41
Tetramorium.simillimum,Tetramorium.simillimum_EGP0066G11_Fiji,instantaneous,Exotic,3,330651.3174,107.4184212,0.000324869,1329.163542,213646.518,2.206117399,2.605263158,3.394736842,117.4210526,0,8,16