label,status,radiation
Colobopsis.bryani_clade_EGP0136A07_Fiji,endemic,colobopsis_radiation
Colobopsis.cristata_clade_EGP0080B07_Fiji,endemic,colobopsis_radiation
Colobopsis.dentata_c1_EGP0070H11_Fiji,endemic,colobopsis_radiation
Colobopsis.dentata_c2_EGP0138G07_Fiji,endemic,colobopsis_radiation
Colobopsis.dentata_c3_EGP0071A10_Fiji,endemic,colobopsis_radiation
Colobopsis.dentata_c4_EGP0071C08_Fiji,endemic,colobopsis_radiation
Colobopsis.laminata_c1_EGP0074D06_Fiji,endemic,colobopsis_radiation
Colobopsis.laminata_c2_EGP0074C07_Fiji,endemic,colobopsis_radiation
Colobopsis.laminata_c3_EGP0073G08_Fiji,endemic,colobopsis_radiation
Colobopsis.polynesica_c1_EGP0071G01_Fiji,endemic,colobopsis_radiation
Colobopsis.polynesica_c2_EGP0072C08_Fiji,endemic,colobopsis_radiation
Colobopsis.polynesica_c3_EGP0060D10_Fiji,endemic,colobopsis_radiation
Colobopsis.polynesica_c4_EGP0060F07_Fiji,endemic,colobopsis_radiation
Colobopsis.polynesica_c5_EGP0071F07_Fiji,endemic,colobopsis_radiation
Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,endemic,colobopsis_radiation
Colobopsis.vitiensis_EGP0060A03_Fiji,endemic,colobopsis_radiation
Hypoponera.monticola_EGP0094C04_Fiji,endemic,hypoponera_radiation
Hypoponera.turaga_EGP0094H10_Fiji,endemic,hypoponera_radiation
Leptogenys.FJE02_EGP0095E10_Fiji,endemic,leptogenys_radiation
Leptogenys.FJE05_EGP0096A07_Fiji,endemic,leptogenys_radiation
Leptogenys.fjm01_EGP0103F01_Fiji,endemic,leptogenys_radiation
Leptogenys.fjm03_EGP0103G01_Fiji,endemic,leptogenys_radiation
Leptogenys.fjn01_EGP0095F08_Fiji,endemic,leptogenys_radiation
Leptogenys.fjn02_EGP0095E11_Fiji,endemic,leptogenys_radiation
Leptogenys.fugax_EGP0095E02_Fiji,endemic,leptogenys_radiation
Leptogenys.letilae_EGP0095D08_Fiji,endemic,leptogenys_radiation
Ooceraea.crypta_EGP0099F12_Fiji,endemic,ooceraea_radiation
Ooceraea.fj06_EGP0100B10_Fiji,endemic,ooceraea_radiation
Ooceraea.fuscior_EGP0099G11_Fiji,endemic,ooceraea_radiation
Parasyscia.lindrothi_EGP0100F08_Fiji,endemic,na
Pheidole.colaensis_EGP0016A08_Fiji,endemic,pheidole_radiation
Pheidole.bula_EGP0016A02_Fiji,endemic,pheidole_radiation
Pheidole.kava_EGP0027D12_Fiji,endemic,pheidole_radiation
Pheidole.knowA_EGP0029H06_Fiji,endemic,pheidole_radiation
Pheidole.roosevelti_EGP0016D06_Fiji,endemic,pheidole_radiation
Pheidole.simplinosa_EGP0016E11_Fiji,endemic,pheidole_radiation
Pheidole.ululevu_EGP0025D07_Fiji,endemic,pheidole_radiation
Pheidole.uncagena_EGP0022C09_Fiji,endemic,pheidole_radiation
Pheidole.vatu_EGP0022E11_Fiji,endemic,pheidole_radiation
Pheidole.wilsoni_EGP0023A03_Fiji,endemic,pheidole_radiation
Proceratium.oceanicum_EGP0091B12_Fiji,endemic,proceratium_radiation
Proceratium.relictum_EGP0091C09_Fiji,endemic,proceratium_radiation
Strumigenys.basiliska_EGP0036G12_Fiji,endemic,strumigenys_radiation
Strumigenys.chernovi_EGP0037D06_Fiji,endemic,strumigenys_radiation
Strumigenys.ekasura_EGP0061B04_Fiji,endemic,strumigenys_radiation
Strumigenys.godeffroyi_EGP0061D04_Fiji,endemic,strumigenys_radiation
Strumigenys.nidifex_EGP0062A08_Fiji,endemic,strumigenys_radiation
Strumigenys.sulcata_EGP0062G05_Fiji,endemic,strumigenys_radiation
Tapinoma.fj01_EGP0103B08_Fiji,endemic,tapinoma_radiation
Tapinoma.fj02_EGP0069G12_Fiji,endemic,tapinoma_radiation
Vollenhovia.fj01_EGP0067E03_Fiji,endemic,na
Eurhopalothrix.fj_sp_EGP0032B04_Fiji,endemic,na
Gnamptogenys.aterrima_EGP0070D10_Fiji,endemic,na
Hypoponera.eutrepta_EGP0093B09_Fiji,endemic,hypoponera_radiation
Lordomyrma.desupra_EGP0033B12_Fiji,endemic,lordomyrma_radiation
Lordomyrma.striatella_EGP0032F01_Fiji,endemic,lordomyrma_radiation
Lordomyrma.tortuosa_EGP0032G03_Fiji,endemic,lordomyrma_radiation
Nylanderia.vitiensis_EGP0137D11_Fiji,endemic,na
Ochetellus.sororis_EGP0068C03_Fiji,endemic,na
Odontomachus.angulatus_EGP0096C03_Fiji,endemic,na
Paraparatrechina.oceanica_EGP0138A07_Fiji,endemic,na
Pheidole.onifera_EGP0016H09_Fiji,endemic,pheidole_radiation
Philidris.nagasau_EGP0068D11_Fiji,endemic,na
Pristomyrmex.mandibularis_EGP0025G10_Fiji,endemic,na
Pristomyrmex.mandibularis_EGP0025G10_Fiji,endemic,pristomyrmex_radiation
Pristomyrmex.tsujii_EGP0029E11_Fiji,endemic,pristomyrmex_radiation
Strumigenys.trauma_EGP0035F11_Fiji,endemic,strumigenys_radiation
Tetramorium.manni_EGP0064E11_Fiji,endemic,na
Anochetus.graeffei_EGP0091H05_Fiji,widespread Pacific native,na
Camponotus.chloroticus_EGP0071D10_Fiji,widespread Pacific native,na
Carebara.atoma_EGP0031H09_Fiji,widespread Pacific native,na
Hypoponera.confinis_EGP0137C06_Fiji,widespread Pacific native,na
Iridomyrmex.anceps_EGP0068B09_Fiji,widespread Pacific native,na
Monomorium.floricola_EGP0033F05_Fiji,widespread Pacific native,na
Odontomachus.simillimus_EGP0098D03_Fiji,widespread Pacific native,na
Pheidole.fervens_EGP0019A05_Fiji,widespread Pacific native,na
Pheidole.oceanica_EGP0016G11_Fiji,widespread Pacific native,na
Pheidole.umbonata_EGP0016E05_Fiji,widespread Pacific native,na
Rogeria.stigmatica_EGP0035C04_Fiji,widespread Pacific native,na
Solenopsis.papuana_EGP0036G03_Fiji,widespread Pacific native,na
Strumigenys.godeffroyi_EGP0061D04_Fiji,widespread Pacific native,na
Tapinoma.minutum_EGP0069G08_Fiji,widespread Pacific native,na
Technomyrmex.vitiensis_EGP0101G03_Fiji,widespread Pacific native,na
Tetramorium.insolens_EGP0064B06_Fiji,widespread Pacific native,na
Tetramorium.pacificum_EGP0065G07_Fiji,widespread Pacific native,na
Tetramorium.tonganum_EGP0067D04_Fiji,widespread Pacific native,na
Anoplolepis.gracilipes_EGP0102E11_Fiji,exotic,na
Cardiocondyla.minutior_EGP0031F09_Fiji,exotic,na
Cardiocondyla.obscurior_EGP0031G08_Fiji,exotic,na
Hypoponera.opaciceps_EGP0094G12_Fiji,exotic,na
Hypoponera.punctatissima_EGP0094H08_Fiji,exotic,na
Pheidole.megacephala_EGP0019C04_Fiji,exotic,na
Pseudoponera.stigma_EGP0099C08_Fiji,exotic,na
Solenopsis.geminata_EGP0035H08_Fiji,exotic,na
Strumigenys.rogeri_EGP0062E04_Fiji,exotic,na
Syllophopsis.sechellensis_EGP0033H10_Fiji,exotic,na
Tapinoma.melanocephalum_EGP0069D02_Fiji,exotic,na
Tetramorium.simillimum_EGP0066G11_Fiji,exotic,na